FID	IID
CAMBRIDGE-BELIEVE_310192841_310192841	CAMBRIDGE-BELIEVE_310192841_310192841
CAMBRIDGE-BELIEVE_310192924_310192924	CAMBRIDGE-BELIEVE_310192924_310192924
CAMBRIDGE-BELIEVE_310193143_310193143	CAMBRIDGE-BELIEVE_310193143_310193143
CAMBRIDGE-BELIEVE_310193427_310193427	CAMBRIDGE-BELIEVE_310193427_310193427
CAMBRIDGE-BELIEVE_310193430_310193430	CAMBRIDGE-BELIEVE_310193430_310193430
CAMBRIDGE-BELIEVE_310193619_310193619	CAMBRIDGE-BELIEVE_310193619_310193619
CAMBRIDGE-BELIEVE_310193669_310193669	CAMBRIDGE-BELIEVE_310193669_310193669
CAMBRIDGE-BELIEVE_310193800_310193800	CAMBRIDGE-BELIEVE_310193800_310193800
CAMBRIDGE-BELIEVE_310194274_310194274	CAMBRIDGE-BELIEVE_310194274_310194274
CAMBRIDGE-BELIEVE_310194278_310194278	CAMBRIDGE-BELIEVE_310194278_310194278
CAMBRIDGE-BELIEVE_310194336_310194336	CAMBRIDGE-BELIEVE_310194336_310194336
CAMBRIDGE-BELIEVE_310194452_310194452	CAMBRIDGE-BELIEVE_310194452_310194452
CAMBRIDGE-BELIEVE_310194471_310194471	CAMBRIDGE-BELIEVE_310194471_310194471
CAMBRIDGE-BELIEVE_310194531_310194531	CAMBRIDGE-BELIEVE_310194531_310194531
CAMBRIDGE-BELIEVE_310194534_310194534	CAMBRIDGE-BELIEVE_310194534_310194534
CAMBRIDGE-BELIEVE_310194621_310194621	CAMBRIDGE-BELIEVE_310194621_310194621
CAMBRIDGE-BELIEVE_310194629_310194629	CAMBRIDGE-BELIEVE_310194629_310194629
CAMBRIDGE-BELIEVE_310194636_310194636	CAMBRIDGE-BELIEVE_310194636_310194636
CAMBRIDGE-BELIEVE_310194744_310194744	CAMBRIDGE-BELIEVE_310194744_310194744
CAMBRIDGE-BELIEVE_310194746_310194746	CAMBRIDGE-BELIEVE_310194746_310194746
CAMBRIDGE-BELIEVE_334241236_334241236	CAMBRIDGE-BELIEVE_334241236_334241236
CAMBRIDGE-BELIEVE_334241397_334241397	CAMBRIDGE-BELIEVE_334241397_334241397
CAMBRIDGE-BELIEVE_334267686_334267686	CAMBRIDGE-BELIEVE_334267686_334267686
CAMBRIDGE-BELIEVE_334272365_334272365	CAMBRIDGE-BELIEVE_334272365_334272365
CAMBRIDGE-BELIEVE_334272875_334272875	CAMBRIDGE-BELIEVE_334272875_334272875
CAMBRIDGE-BELIEVE_334273282_334273282	CAMBRIDGE-BELIEVE_334273282_334273282
CAMBRIDGE-BELIEVE_334273458_334273458	CAMBRIDGE-BELIEVE_334273458_334273458
CAMBRIDGE-BELIEVE_334273736_334273736	CAMBRIDGE-BELIEVE_334273736_334273736
CAMBRIDGE-BELIEVE_334273788_334273788	CAMBRIDGE-BELIEVE_334273788_334273788
CAMBRIDGE-BELIEVE_334274179_334274179	CAMBRIDGE-BELIEVE_334274179_334274179
CAMBRIDGE-BELIEVE_337764935_337764935	CAMBRIDGE-BELIEVE_337764935_337764935
CAMBRIDGE-BELIEVE_337764979_337764979	CAMBRIDGE-BELIEVE_337764979_337764979
CAMBRIDGE-BELIEVE_337764997_337764997	CAMBRIDGE-BELIEVE_337764997_337764997
CAMBRIDGE-BELIEVE_337766539_337766539	CAMBRIDGE-BELIEVE_337766539_337766539
CAMBRIDGE-BELIEVE_337766543_337766543	CAMBRIDGE-BELIEVE_337766543_337766543
CAMBRIDGE-BELIEVE_337766645_337766645	CAMBRIDGE-BELIEVE_337766645_337766645
CAMBRIDGE-BELIEVE_337773689_337773689	CAMBRIDGE-BELIEVE_337773689_337773689
CAMBRIDGE-BELIEVE_337773726_337773726	CAMBRIDGE-BELIEVE_337773726_337773726
CAMBRIDGE-BELIEVE_337773820_337773820	CAMBRIDGE-BELIEVE_337773820_337773820
CAMBRIDGE-BELIEVE_337773823_337773823	CAMBRIDGE-BELIEVE_337773823_337773823
CAMBRIDGE-BELIEVE_337786947_337786947	CAMBRIDGE-BELIEVE_337786947_337786947
CAMBRIDGE-BELIEVE_337787488_337787488	CAMBRIDGE-BELIEVE_337787488_337787488
CAMBRIDGE-BELIEVE_337787869_337787869	CAMBRIDGE-BELIEVE_337787869_337787869
CAMBRIDGE-BELIEVE_337787926_337787926	CAMBRIDGE-BELIEVE_337787926_337787926
CAMBRIDGE-BELIEVE_337788133_337788133	CAMBRIDGE-BELIEVE_337788133_337788133
CAMBRIDGE-BELIEVE_337789562_337789562	CAMBRIDGE-BELIEVE_337789562_337789562
CAMBRIDGE-BELIEVE_337789780_337789780	CAMBRIDGE-BELIEVE_337789780_337789780
CAMBRIDGE-BELIEVE_337832704_337832704	CAMBRIDGE-BELIEVE_337832704_337832704
CAMBRIDGE-BELIEVE_337832720_337832720	CAMBRIDGE-BELIEVE_337832720_337832720
CAMBRIDGE-BELIEVE_337833702_337833702	CAMBRIDGE-BELIEVE_337833702_337833702
CAMBRIDGE-BELIEVE_337833776_337833776	CAMBRIDGE-BELIEVE_337833776_337833776
CAMBRIDGE-BELIEVE_337833814_337833814	CAMBRIDGE-BELIEVE_337833814_337833814
CAMBRIDGE-BELIEVE_337833842_337833842	CAMBRIDGE-BELIEVE_337833842_337833842
